,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,MJJA,Year
ADU,0.14,0.3,1.47,4.18,3.16,7.22,4.07,4.4,0.35,4.88,0.82,,18.85,30.99
AIO,0.08,0.46,1.81,3.71,1.89,10.99,6.63,4.7,0.2,5.9,0.74,,24.21,37.11
AWG,0.02,0.99,5.09,4.05,4.68,9.97,4.27,5.57,2.11,8.54,2.34,,24.49,47.63
AXA,0.03,0.52,1.64,2.37,2.66,2.56,4.05,1.9,M,5.86,1.63,,11.17,23.22
BNW,0.09,0.16,4.63,4.97,3.82,5.16,3.2,4.53,1.2,7.98,1.57,,16.71,37.31
CAV,0.02,0.69,2.67,2.99,5.96,3.14,2.27,0.87,0.95,6.19,0.2,,12.24,25.95
CBF,0.09,0.39,1.12,2.4,0.69,5.09,3.77,4.17,1.31,3.2,0.56,,13.72,22.79
CCY,0.01,0.73,2.06,4.55,8.23,2.57,3.36,2.8,2.09,7.77,0.72,,16.96,34.89
CIN,0.08,0.34,M,1.62,1.94,6.38,5.66,5.26,0.62,5.48,1.04,,19.24,28.42
CKP,0,0.59,0.05,1,0.9,1.05,0.71,1.44,1.12,5.94,1.41,,4.1,14.21
CNC,0.03,0.18,4.89,2.15,3.52,3.84,M,3.35,1.03,5.64,1.48,,10.71,26.11
CSQ,0.04,0.56,3.83,3.7,2.12,6.11,4.38,4.63,0.33,3.89,1.84,,17.24,31.43
DEH,0.07,0.19,0.14,4.42,3.78,1.87,2.74,0.04,0.96,5.48,0.34,,8.43,20.03
DNS,0.2,0.28,1.27,1.77,1.44,4.4,5.83,4.1,0.12,5.17,0.51,,15.77,25.09
EBS,0.05,0.51,3.42,2.89,3.12,5.07,3.76,3.46,1.09,6.78,0.53,,15.41,30.68
EOK,0.06,1.37,5.75,6.66,4.53,7.88,3.65,9.36,1.94,7.37,2.89,,25.42,51.46
FFL,0.03,1.81,4.71,2.91,3.99,6.59,3.35,9.82,2.15,6.35,2.4,,23.75,44.11
FSW,0.09,1.77,5.96,4.54,4.02,9.18,3.73,9.47,0.12,7.33,2.8,,26.4,49.01
FXY,M,0.38,1.85,2.16,3.35,3.89,4.19,1.49,3.61,5.52,0.56,,12.92,27
GGI,0.07,0.36,2.49,2.85,2.55,6.03,2.52,7.63,2.11,4.23,0.84,,18.73,31.68
HNR,0.1,0.32,1.32,2.82,2.18,7.95,5.51,7.05,0.33,4.67,0.7,,22.69,32.95
I75,M,M,M,M,M,M,M,M,0.56,6.06,1.4,,0,8.02
ICL,0.05,0.39,1.8,3.52,2.31,5.12,1.65,2.34,0.45,3.56,1.66,,11.42,22.85
IFA,0.03,0.26,2.69,3.42,4.24,4.54,2.36,1.31,3.75,2.97,0.48,,12.45,26.05
IIB,0.02,0.26,1.67,3.2,1.69,1.98,0.49,1.28,1.36,5.32,0.41,,5.44,17.68
IKV,0.14,0.68,4.79,5.71,3.31,2.21,0.93,5.06,1.52,5.32,1.03,,11.51,30.7
LRJ,0.09,0.42,1.18,1.43,1.66,4.5,6.42,2.63,0.71,4.36,0.83,,15.21,24.23
MPZ,0,0.23,1.55,1.93,0.88,2.1,1.1,2.84,0.68,1.52,0.52,,6.92,13.35
MUT,0.16,2.01,5.86,5.42,6.97,9.74,5.92,7.47,0.61,7.33,2.09,,30.1,53.58
MXO,0.1,0.08,M,M,M,2.33,3.18,11.82,1.27,7.78,1.49,,17.33,28.05
OLZ,0.02,0.42,3.16,5.78,3.82,3.44,4.45,5.3,2.4,7.72,0.65,,17.01,37.16
OOA,0,0.21,1.28,3,3.31,2.83,1.86,7.45,2.47,4.45,1.47,,15.45,28.33
ORC,0.12,0.43,1.47,1.84,1.08,4.67,5.77,2.36,0.94,4.44,0.99,,13.88,24.11
OXV,0.11,0.15,4.6,4.03,3.19,6.63,4.17,6.13,2.02,5.33,1.7,,20.12,38.06
PEA,0.02,0.15,2.03,2.93,4.06,6.61,3.02,7.62,2.42,5.01,1.23,,21.31,35.1
PRO,0.01,0.07,1.23,1.91,1.95,4.18,3,4.38,1,4.54,0.53,,13.51,22.8
RDK,0.13,0.22,1.69,3.55,3.72,5.02,3.03,3.29,0.39,M,1.12,,15.06,22.16
SDA,0.07,0.12,0.74,2.75,3.8,6.76,2.83,3.53,1.24,4.67,1.05,,16.92,27.56
SHL,0.02,0.43,1.31,1.58,1.16,4.2,3.93,2.16,0.99,5.22,0.97,,11.45,21.97
SLB,0.09,0.71,1.2,1.42,1.34,1.76,3.99,1.43,0.3,5.48,1.02,,8.52,18.74
TNU,0.19,0.43,5.28,5.22,3.02,7.94,2.79,11.56,3.04,6.23,1.15,,25.31,46.85
TVK,M,M,M,M,M,M,M,M,M,M,M,,0,0
VTI,0,0.52,1.32,1.98,1.67,4.83,2.91,4.19,1.13,2.48,0.3,,13.6,21.33
