,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,MJJA,Year
ADU,0.1,1.67,1.11,3.53,4.16,m,m,m,m,,,,4.16,10.57
AIO,0.11,1.61,1,2.95,4.97,3.85,3.29,2.59,0.84,,,,14.7,21.21
AWG,1.48,1.19,1,2.56,1.85,3.88,2.21,1.98,2.19,,,,9.92,18.34
AXA,0.04,1.25,1.1,2.08,5.8,1.99,3.04,0.32,3.58,,,,11.15,19.2
BNW,0.22,1.71,1.2,2.84,3.17,4.16,4.01,4.38,3.17,,,,15.72,24.86
CAV,0.19,1.87,1.03,4.61,3.24,4.69,3.65,3.58,4.09,,,,15.16,26.95
CBF,0.09,1.31,0.87,2.5,3.31,4.13,2.16,1.73,0.58,,,,11.33,16.68
CCY,0.56,1.19,0.35,2.04,4.54,7.46,3.35,1.56,4.7,,,,16.91,25.75
CIN,0.05,1.84,1.65,1.63,1.3,4.24,3.13,1.47,2.41,,,,10.14,17.72
CKP,0,0,0,2.64,2.79,5.51,1.43,0.8,3.75,,,,10.53,16.92
CNC,0.75,1.47,0.74,4.59,2.86,4.47,2.14,3.41,0.77,,,,12.88,21.2
CSQ,0.31,1.29,0.57,3.83,5.77,4.12,2.21,1.66,0.4,,,,13.76,20.16
DEH,0.34,0.56,0.27,0.97,2.45,2.42,2.99,1.57,2.9,,,,9.43,14.47
DNS,0.1,1.89,1.17,3.31,2.98,2.96,1.72,2.23,0.9,,,,9.89,17.26
EBS,0.26,1.28,1.11,3.6,2.78,5.45,6.79,1.96,4.2,,,,16.98,27.43
EOK,2.4,1.65,0.77,3.69,2.21,2.95,1.47,2.22,4.64,,,,8.85,22
FFL,1.87,1.52,0.66,2.51,0.63,2.69,1.84,3.1,2.85,,,,8.26,17.67
FSW,0.61,0.37,0.44,4.43,2.72,1.89,1.35,2.45,3.3,,,,8.41,17.56
HNR,0.05,1.37,1.79,3.99,4.03,3.9,1.89,1,1.68,,,,10.82,19.7
ICL,0.57,2.42,0.98,4.25,5.42,5.08,6.38,2.22,0.33,,,,19.1,27.65
IIB,0,0,0,0,0,0,0,0,0,,,,0,0
IKV,0.25,1.48,1.19,4.28,6.32,5.03,3.71,1.56,2.25,,,,16.62,26.07
LRJ,0.12,0.83,0.91,2.63,3.92,7.66,1.14,1.44,4.42,,,,14.16,23.07
MPZ,0,0,0,0,0,0,0,0,0,,,,0,0
MUT,1.8,1.19,1.02,2.45,2.23,1.91,1.55,2.79,2,,,,8.48,16.94
MXO,0,0,0,0,0,0.01,0,0,0,,,,0.01,0.01
OLZ,0.45,1.1,0.63,0.9,2.7,6.23,4.88,5.6,3,,,,19.41,25.49
OOA,0,0,0,0.95,1.78,1.91,2.7,3.07,1.58,,,,9.46,11.99
ORC,0.09,1.09,0.43,2.78,3.42,4.39,2.38,1.04,4.12,,,,11.23,19.74
OXV,0.52,1.35,1.21,5.92,2.53,4.27,3.3,2.94,1.81,,,,13.04,23.85
PEA,0,0,0,0,0,0,0,0,0,,,,0,0
RDK,0.55,2.03,1.55,2.65,4.68,4.31,2.8,1.43,0.34,,,,13.22,20.34
SDA,0.62,2.65,0.81,3.92,3.91,5.9,3.69,1.73,0.47,,,,15.23,23.7
SHL,0,1.34,0.35,2.96,4.27,5.91,1.08,1.32,7.95,,,,12.58,25.18
SLB,0.14,1.52,0.38,3.25,4.45,7.21,1.78,1.44,3.88,,,,14.88,24.05
TNU,0.35,1.7,0.92,4.41,4.43,5.4,5.38,1.54,1.39,,,,16.75,25.52
VTI,0,0,0,0,0,0,0,0,0,,,,0,0
