,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,MJJA,Year
ADU,0.01,0.24,2.71,3.45,4.65,7.52,6.49,0.62,5.41,4.63,,,19.28,35.73
AIO,0.04,0.53,2.46,4.26,4.39,9.14,4.7,1.42,4.02,4.17,,,19.65,35.13
AWG,0.4,1.97,2.31,6.4,5.72,7.83,5.29,3.77,6.63,1.52,,,22.61,41.84
AXA,0.09,0.26,1.43,2.04,4.72,3.21,1.73,1.03,0.75,2.74,,,10.69,18
BNW,0.03,0.54,2.69,4.8,9.09,7.21,7.05,2.15,2.27,3.72,,,25.5,39.55
CAV,0.02,0.78,1.48,4.3,4.38,9.54,3.19,1.32,1.47,0.33,,,18.43,26.81
CBF,0.01,0.31,1.17,3.64,5.17,8.38,2.14,1.15,2.06,3.47,,,16.84,27.5
CCY,0.2,0.3,2.25,6.07,4.36,10.62,5.03,1.24,2.19,2.59,,,21.25,34.85
CIN,0.02,0.37,1.66,3.32,7.38,6.35,6.83,1.56,3.11,5.06,,,22.12,35.66
CKP,0.04,0.29,0.55,2.17,3.76,1.28,1.44,1.28,2.07,3.24,,,7.76,16.12
CNC,0.48,1.17,1.43,3.43,4.27,7.51,11.14,0.95,7.03,3.63,,,23.87,41.04
CSQ,0.05,0.66,1.25,2.54,2.55,11.59,9.33,0.34,4.36,3.3,,,23.81,35.97
DEH,0.3,0.25,0.97,5.54,2.05,8.76,1.8,1.71,0.92,1.01,,,14.32,23.31
DNS,0.06,0.5,1.38,3.69,6.71,10.27,3.16,1.84,2.47,5.73,,,21.98,35.81
EBS,0.15,0.91,1.46,2.04,5.26,7.73,4.06,M,1.4,3.03,,,17.05,26.04
EOK,0.84,2.94,2.78,5.46,2.15,7.55,2.87,0.72,7.71,2.12,,,13.29,35.14
FFL,0.36,1.59,1.54,5.38,7.14,9.2,2.53,3.38,2.22,1.67,,,22.25,35.01
FSW,0.81,1.53,1.75,5.07,2.79,6.05,2.36,1.3,10.36,2.79,,,12.5,34.81
GGI,0.18,0.67,0.71,3.98,3.65,6.26,5.28,1.15,4.56,1.27,,,16.34,27.71
HNR,0.04,0.42,1.51,3.57,4.67,6.7,2.72,1.52,3.25,4.74,,,15.61,29.14
ICL,0.1,0.66,1.88,2.73,5.61,12.93,1.64,0.95,4.47,4.71,,,21.13,35.68
IFA,0.01,0.6,2.02,5.54,6.85,8.54,4.33,1.64,1.54,3.33,,,21.36,34.4
IIB,M,M,M,M,M,M,M,M,M,M,,,0,0
IKV,0.09,0.67,1.54,5.46,3.16,12.92,M,M,0.84,4.37,,,16.08,29.05
LRJ,0.07,0.19,0.86,1.8,5.39,3.82,3.31,1.32,2.49,3.79,,,13.84,23.04
MPZ,0.05,0.11,0.22,0.67,0.81,1.44,0.39,0.58,1.9,1.61,,,3.22,7.78
MUT,0.42,2.35,2.16,6.44,5.16,7.79,4.63,4.67,8.08,2.97,,,22.25,44.67
MXO,0.36,1.94,1.46,6.63,6.53,3.71,M,M,1.11,1.16,,,10.24,22.9
OLZ,0.14,0.86,1.58,7.82,4.59,6.95,4.19,1.53,2.14,1.38,,,17.26,31.18
OOA,0.28,0.96,1.74,5.66,3.7,4.4,6.15,1.95,5.2,1.54,,,16.2,31.58
ORC,0.02,0.29,0.86,1.71,4.77,4.85,2.67,0.87,2.9,4.68,,,13.16,23.62
OXV,0.06,1.24,0.43,5.01,3.66,8.33,9.75,2.1,6.21,2.15,,,23.84,38.94
PEA,0.28,0.68,0.56,4.77,3.19,4.67,4.59,1.27,5.51,1.73,,,13.72,27.25
PRO,0.01,0.27,1.49,3.28,5.35,8.22,6.72,0.45,2.83,2.95,,,20.74,31.57
RDK,0.09,0.43,1.16,4.45,8.28,12.1,1.99,0.42,3.23,2.13,,,22.79,34.28
SDA,0.04,0.41,1.17,3.55,8.22,13.93,1.2,0.85,3.82,3.47,,,24.2,36.66
SHL,0.12,0.18,1.09,2.17,4.8,5.41,1.85,2.33,4.96,5.01,,,14.39,27.92
SLB,0.09,0.35,0.79,2.62,4.88,10.76,3.42,0.7,2.67,4.61,,,19.76,30.89
TNU,0.26,1.26,1.4,6.98,5.43,6.65,5.45,1.82,0,0.28,,,19.35,29.53
TVK,0,0,0.22,M,M,M,M,M,M,M,,,0,0.22
VTI,0.02,0.64,0.67,3.6,0.11,M,2.68,2.09,2.84,0.71,,,4.88,13.36
