,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,MJJA,Year
ALO,0.79,1.35,1.14,2.67,3.33,8.02,3.81,2.8,3.06,0.43,,,17.96,27.4
AMW,0.39,1.6,1.59,3.48,3.86,4.77,2.6,6.77,3.83,0.46,,,18,29.35
BRL,2.63,1.47,0.83,3.64,2.78,1.98,1.45,1.4,2.98,2.61,,,7.61,21.77
CID,0.81,0.95,0.73,2.89,3.19,4.85,1.4,3.1,2.74,0.24,,,12.54,20.9
DBQ,1.42,1.17,0.75,2.26,2.72,2.93,1.43,4.42,1.89,3.24,,,11.5,22.23
DSM,0.4,1.64,1.46,4.73,5.15,3.33,2.89,1.28,1.26,0.93,,,12.65,23.07
DVN,1.72,1,0.83,1.02,1.97,1.05,1.62,2.68,1.34,0.98,,,7.32,14.21
EST,0.09,0.65,0.2,1.86,5.07,3.08,0.28,2.73,7.38,0.57,,,11.16,21.91
IOW,2.05,1.43,1.04,3.03,1.72,3.02,1.4,1.22,1.62,0.64,,,7.36,17.17
LWD,1.44,1.87,0.74,2.96,2.89,5.53,1.31,4.8,2.08,1.42,,,14.53,25.04
MCW,0.96,1.69,1.3,6.25,6.15,5.76,3.46,3.34,9.6,0.82,,,18.71,39.33
MIW,0.48,1.16,1.27,2.85,4.89,5.9,1.27,2.21,2.72,0.41,,,14.27,23.16
OTM,1.01,1.41,0.87,4.17,1.94,3.45,2.45,3.02,1.64,1.16,,,10.86,21.12
SPW,0.14,0.08,0.23,5.22,3.07,3.34,3.66,1.62,3.63,0.63,,,11.69,21.62
SUX,0.05,0.29,0.8,4.18,3.31,4.21,4.79,1.48,2.8,1.45,,,13.79,23.36
